"","Post_Ques","Post_Ans","Average_Severity"
"11878","if you could go back and change the way your life is going now  would you or would you let it be  because everything happens for a reason","i would make changes and not go to jail",0
"11879","if you could have dinner with one person dead or alive  famous or not who would it be","princess diana",0
"11880","if you could have free  unlimited service for five years from an extremely good cook  chauffeur  or masseuse  which would you choose","chauffeur  i have a suspended dl",0
"11881","if you could invent a new flavor of soda  what flavor would you choose","beer lol",0
"11882","if you could live a celebritys lifestyle  what aspects of it would you enjoy most and which aspects would you not like why","the money but not the paperrazzi",0
"11883","if you could look like anyone who would you look like","brad pitt",0
"11884","if you could magically go into your favorite book  what book would it be","justice league the never ending battle",0
"11885","if you could marry someone who was  years old and a billionaire wth virtually a certainity of inheriting hundreds of millions of dollars on their demise  would you do so","no thats just wrong",1
"11886","if you could meet any of the people you follow on formspring  who would you want to meet and why","you youre a cutie",0
"11887","if you could meet anyone who would it br and why","paris hilton  cause she is way hottt  ",0
"11888","if you could own a wild animal as a pet  from birth  would you be interested in doing so why or why not do you feel it is acceptable to have a wild animal as a pet  or do you feel they are just too dangerousunpredictable","a lion it can be tamed",0
"11889","if you could save any endangered animal  what would it be and why","lions  they are beautiful",0
"11890","if you could say something to anyone in the world  who would you say it to and what would you say why","i still love you yo my ex wife",0
"11891","if you could sing  dance  play an instrument  make beats  ect and be the best at it  which one would you want to be able to do any why","play guitar  women love a man who plays guitar",0
"11892","if you could spend the night with any celebrity who would it be and what would u doo  x","madonna  and i would get freaky   ",0
"11893","if you could spend the night with any famous person who would it be and what would you do ","pink and i am total freak  so i am not going to tell you lol",0
"11894","if you could trade lives with a celebrity for a day  who would you trade with and why","brad pitt   because hes married to angalina jolie lmao  ",0
"11895","if you could travel in time and say something to the person you will love in your future  what would you say","i love you  of course",0
"11896","if you dont want me to ask questions anymore  please tell me nicely in my inbox ive been getting some crap from some people that i question and i dont want to bother anyone else so sorry if ive been bothersome im done for tonight ask me stuff if","youre fine baby",0
"11897","if you drive  do you ever text and drive do your parents ever text and drive do you feel texting and driving is very dangerous  or not so explain your answer","its dangerous  and i dont do it ever",0
"11898","if you get the chipolte logo tattooed on you  you get free chipolte for life do you do it and yes  this is true","nope",0
"11899","if you had  wishes  that would expire after  hours  what would they be","to fuck paris hilton to have  million dollars",0
"11900","if you had a problem would you rather turn to family or friends or other ","family",0
"11901","if you had to be named after one of the  states  which would it be  haha","wyoming",0
"11902","if you had to choose a song that would suit as your theme song  which one would it be","its a long way to the top  if you wanna rock and roll  ac  dc",0
"11903","if you had to choose to not ever wash your bed sheets again or not wash your bath towel ever again  which would you rather not wash why","bath towl i am clean getting out of the shower  and can drip dry",0
"11904","if you had to eat one food for the rest of your life what would it be   x","german brughts",0
"11905","if you had to estimate  how many other homes are in your neighborhood or street"," or so",0
"11906","if you had to repeat any grade in school  which grade would you repeat x","college",0
"11907","if you happen to use facebookmyspaceany other site like it  would you ever post a status updatebulletinnoteblog about your religion and why you believe in it why or why not","no  because what i bieleve  is private",0
"11908","if you have a crush on someone  is it easy for you to hide it from them  or do you become more flirty  smile more often  laugh more  etc around them without being able to help yourself","idk",0
"11909","if you have an ipod  and a playlist assuming you do what songs are on it and how many are there","i dont have one",0
"11910","if you have facebook  how many things do you like","a lot lol i get told to stop that all the time",0
"11911","if you leave a nice comment on someoneus picture on facebookmyspaceetc and that person deletes your comment  what do you think that means has this ever happened to you","no  it hasnt   but it would hurt my feelings i think it would mean that that person didnt really like me  but was a quot collector quot",0
"11912","if you like adventure  you ready to go to another planet and explore with me were leaving at  am sharp dont be late i wouldnt want to hunt aliens without you ","im game sweetie  ",0
"11913","if you lived in the s what would you be and why i personally  would have been a pin up girl","kool i would be a gangster",0
"11914","if you loved someone but you knew it wouldnt work out in the long run would you still pursue it","yes love is always worth it",0
"11915","if you started a charity  what would it be for","i really love vh save the music and i wish that i had thought of it",0
"11916","if you want attention  how do you get it","get drunk",0
"11917","if you were a crayon what color would you ber","navy blue",0
"11918","if you were a ghost would u haunt people ","nope  just watch",0
"11919","if you were alive back in the time of the prohibition of alcohol  would you have abided by it or been a bootlegger why","bootlegger i need the money",0
"11920","if you were asked to recommend one destination in your country to friends who had never been to your country before  what place would you choose  and why","wyoming its the best place on earth",0
"11921","if you were forced to let out all the angerfrustration you are currently harboring on a stranger  what sort of things do you think you would say","i would tell her that i am sorry  and i wish we were back together",0
"11922","if you were friends with someone on facebookmyspace who constantly changed their status from  uci am at homeud to uci am at workud and then back again over and over incessantly would that annoy you would you say something to them","nopies thats the way they they roll",0
"11923","if you were given the oppertunity to broadcast something to the world  what would you say it can be anything at all ","give peace a chanch",0
"11924","if you were given the opportunity to be in a band and become famous  what instrument would you play or would you be the singer why would you choose this option how would you dress what would your stage name be ","i would be the singer i wish i could sing",0
"11925","if you were living back in the time of hitler and you were one of his nazi followers knowing that what he was doing to the jews were wrong  would you have stood up to him because you believed in doing the right thing or followed him knowing you were also","stood up to him hitler had many attempts on his life  because people knew that he was a wack job",0
"11926","if you were paid   to eat  small pellet of rat poison  would you why or why not how sick do you think  pellet can make a person","i would do it it couldnt make me that sick i would just wash it down with beer anyways  lol",0
"11927","if you were president for a term of four years  what would be the first thing on your list why","i would re peale the stupid heath care quot refome quot bill",0
"11928","if you were single and looking  where would be some of the places youd try to meet new people","online  the bar and at motorcycle rallyies",0
"11929","if you were stranded on a desert island and could live off of either coconut juice or bananas which would you choose","babanas",0
"11930","if you were the opposite sex for a day  what would you do first why","get laid i would love to feel what thats like",0
"11931","if you were the president  and could change any laws  which would you keep  change  and introduce","keep the imiagration laws  change the dont ask dont tell law  and intorduce legilizing prostitution",0
"11932","if you were to give me an estimate on how much hate mail youve gotten in all on fs how much would you say id say about  for me ","some i had a chick tell me that she was turned on by personel sexual qs and turned and spewed hate at me",0
"11933","if you were told you have to lose one of your five senses  which sense would you choose to lose and why","smell i can still taste   see and feel",0
"11934","if you where paid   dollars to cheat on your bfgfspouse  would you do it or would your love for that person mean more then money","i would do it and take the money",0
"11935","if you where stranded on a boat  who and what would you bring if you knew you could only bring one thingperson why would you bring himher and it d","my cousin pete  because he is a better fisherman than i am lmao",0
"11936","if you woke up not knowing your age  how old would you think you were based on appearance  maturity  your thoughts  items in your room  and stuff like that","around  or so",0
"11937","if youre going to have a medical procedure done  such as having blood drawn  is it easier for you to watch someone else having the procedure done or have it done yourself","have it done myself",0
"11938","if youre in a really heated makeout session with a crushbfgf and right before you have sex if youre a virgin imagine youre ready to do it you both suddenly realize youre out of condoms  do you go through with the sex why or why not","yes  thats what oral and anal sex is for",1
"11939","if youve ever tried drugs  can you explain what being quothighquot feels like if you havent  can you explain what you imagine being quothighquot feels like","i have and when i am on coke  its a general lightheaded feeling meth is dizzy   smoky   double vision feeling booze is the same  but without the anger issues that accompany it",0
"11940","if your bfgf if you donut have one then when you get one was always stressed and not happy with their life  would you take that a little personally to me itus like  if you mean enough to them then you brighten their life  right","just stop it their promblems are their own if they cant  wont let you help  then dump them",0
"11941","if your friend came down with a fatal disease  would you treat them differently","no but i would be compassionate",0
"11942","if your friend told you they were cheating regularly on their partner  and they didnt seem upset or like they were doing anything wrong  how would you react what advice would you give this friend","yeay   ",0
"11943","if your house had to be infested with either snakes or rats  which would you choose and why","snakes i hate rats  ",0
"11944","if your most recent ex texted you randomly saying heshe wanted to be friends  would you agree to that why or why not","i would cause i still love her",0
"11945","if youure ignoring someone  what is most likely the reason do you prefer ignoringavoiding a person when upset with them or would you rather confront them directly about it why","confornt them them directly if you cant say it to their face  then dont say it",0
"11946","if youve ever watched hannah montana  have you ever noticed how stupid billy rays jokes are lmao","i have never watched it",0
"11947","im a mixedd breed ","okies",0
"11948","im glad youve never really hurt anyone regret anything","a lot i lost my wife to drinking and being a jerk that couldnt keep my dick in my pants i wish i could take all that back and have her in my life again but that is not to be",0
"11949","im gonna be quite big headed and say im cool do you agree that im cool d d d d d","sure",0
"11950","im gonna test how smart yall are whats x d i know the answer ps dont use a calculator d","  i used my head ",0
"11951","im hungry my tummy just made some really weird noise  what was the last thing you ate ","eggs",0
"11952","im mad at you though","really why ",1
"11953","im seein my best friend in the whole wide world of kansas on thursday we have so much to talk about how do u react  seeing friends tht you might not have seen for eleventy seven months o","i am pretty restrained i once didnt see my cousin for  years when we walked up to each other  you would have thought we had seen each other yesterday",0
"11954","im sitting at the desk  and i look up  the first think i see is a black and white  old fashioned  quotkit cat clockquot with the moving tail and eyes d if you do the same thing  what do you see","my superman action figures",0
"11955","imagine someone said to you  ucif you piss me off ium going to call your bfgf and convince them youure cheating on themud if you donut have a bfgf just pretend how would you respond","go strait to my gf  bf and communicate what just happened",0
"11956","imagine you are driving at night along a deserted street and you get a flat you pull over  but your cell phone isnt getting reception then a man stops in front of you and as he gets out it appears he has a gun what do you do","take out my  ",0
"11957","imagine you are hanging out with a few close friends one saturday night suddenly your closest friend takes out some heroin and everyone joins in to take the heroin what do you do how would you react","none of my close friends would ever take out heroine   so the q is moot",0
"11958","imagine you are in a very serious relationship your partner is usually very open and tells you everything suddenly  heshe starts being cold with you  hiding hisher cell phone  and etc how would you approach himher about the changes you noticed","of course he  she is hidding something",0
"11959","imagine you are swimming in a lake itus super sunny and hot and the lake feels good itus lunchtime  so you get out to eat your premade sandwich what color did you imagine the lake water being how many people did you imagine were with you","i am alone  the water is blue the sun is out and its hot",0
"11960","imagine you are walking through a forest  you see a stream and a fallen tree  so you sit on the tree and look out at the stream what season did you imagine it was did you imagine any animals can you describe what you saw","summer there were birds and small animals  green grass and a light breeze",0
"11961","imagine you had a yearold daughter who was raped and impregnated  and she wanted an abortion all you had to do was sign the papers for her to get one  would you sign them why or why not","no  never my daughter is  i would hunt down the fucker who raped her  and then seriously hurt him but i would help my daughter to raise my grand child",0
"11962","imagine you went to sleep in your bed like you normally do  then you wake up in a strange part of town in a dark lot by a dumpster you get up and seem to be uninjured and untampered with what would you do from there what would you imagine happened","knowing me i would have been put there for a warning i would strat to examine my life and wonder what i should change as i did that  i would get up and start back towards home calling my family members to help me if they could",0
"11963","imagine youre at a fast food place after you order you notice a cook toward the back sneeze and you think it got all over the food he was preparing the food was bagged and handed to a customer what would you do","tell the manager",0
"11964","imagine youure single and sitting alone in a bar what would a person of the sex you desire have to do in order to get you interested in them pickup line buy you a drink just be nice and interesting etc","listen   they always talk  and want to be the center of attention listen and get involved  in their convosation once they pay attention to you  then smile and talk your way into their pants",0
"11965","imagine it is a dark night  you are alone  it is raining outside  you hear someone walking around outside your window what do you do","take out my  ",0
"11966","in a very pissed off mood how would you cheer me up","kiss you  and give you a hug",0
"11967","in high school i liked to wear a lot of black  so everyone always called me gothic i was not gothic  and it annoyed me to hear that what dodid people usually stereotype you as being what do you stereotype yourself as being","i am a cowboy  and thats how people see me",0
"11968","in school  what clique diddo you fit into","the rednecks",0
"11969","in school we had a pool that went down  feet in the deep end  and i swam all the way down to the bottom a few times  the pressure hurt my ears  what is the deepest youuve ever swam down to the bottom of a pool","the same but i have been down  feet in the meddteraten ocean",0
"11970","in what ways do you think confessing to a good friend that you have feelings for them could change your friendship have you ever done this how did your friendship change","i did change we stopped having sex  and became even better friends",0
"11971","in your dream house  would you prefer hardwood floors  stained concrete floors  carpeted floors  or other  and in what colors why","hard wood  i like the look and feel of wood",0
"11972","in your home which room is usually always the brightest by natural sunlight my bedroom is the first room to get sun in the morning and stays the brightest just about all day til pm","my bedroom",0
"11973","in your opinion  is there anything a person can do that makes them not even deserve to live anymore if so  what types of things would they have to do","murder stick a needle in the fucker and get rid of him  her",0
"11974","in your opinion  should a child be raised to believe in a certain religion  or should heshe make hisher own decision when heshe is old enough how do you think you will raise your child if you have any on the subject of religion","own decisions",0
"11975","in your opinion  should gay couples be given the same legal rights as heterosexuals in adopting children why or why not","yes  because they are human beings too",0
"11976","in your opinion  should parental consent be required for underage pregnant women to have abortions","yes",0
"11977","in your opinion  should the medical profession forcefeed anorexics as part of their treatment what do you think are some helpful treatments for such disorders","kill em",1
"11978",NA,NA,0
"11979","in your opinion  what race  gets descriminated on the most now and days why do you think that","blacks  because we are still very predujiced as a people",0
"11980","in your opinion how younge is quottoo youngquot to have sex ","",0
"11981","in your opinon  which is better and why  abortion or adoption","adption abortion is killing  no matter what anybody says",0
"11982","infedelity","yes",0
"11983","is aim dead i know a lot of people use msn these days what was the corniest screen name you have ever had","i guess so i use yahoo and skyp so i dont really know the corniest  batman",0
"11984","is anything too serious for jokes what do you think is","nothing is off limits",1
"11985","is homeschooling bad or good why","good in that the kids get a more personelized education bad in that they dont interact with other kids",0
"11986","is homework harmful or helpful  in your opinion why do you feel that way","helpful you learn even if youre not in school",0
"11987","is impossible  a fact or an opinion do you think theres nothing impossible or are some things impossible impossible is a fact the way i see it but thats just me  what do you think","nothing is impossiable",0
"11988","is it better that your bfgf care too much or not at all","too much i am selfish and want to know that she cares",1
"11989","is it easier for you to say quotthank youquot to a stranger holding a door open for you than it is for you to thank your own loved ones for being there for you why","nope i can do either",0
"11990","is it easier for you to say you are just mad at someone rather than say you were hurt by them is this just you or do you think this happens with the majority of the people","i say why i am mad  then let them know how i am hurt",0
"11991","is it just my formspring that is pmsing cause im not recieving the question people send me  they disappear suddenly and it wont let me answer the ones i have in my inbox","damn  sorry sweetie",0
"11992","is it okay for women to ask me out or should men always ask women","either is ok",0
"11993","is it racist if a parent doesnt let their children date interracially what would you do if your parents said you couldnt date outside of your race will you let your children date other races","i brought a black woman home once and that was enough  my parents dont tollerate inter racial relationship",0
"11994","is it weird that i have a stuffed owl named whooter who talks","yep yep",0
"11995","is it wrong or is it just different i mean this is just an example we see different religions and think that maybe they are wrong if they dont believe in what you believe  are they wrong or is it just different same happens with many other things","just different",0
"11996","is love blind","yes",0
"11997","is prochoice the same thing as proabortion explain your answer","yes  i think so pro choice means that a person is for abortion",0
"11998","is prostitution and porn the same thing getting paid to have sex then why is porn legal  but prostitution in most places is not","its the same thing  but i dont know why one is legal and the other is not its dumb",0
"11999","is snowboarding something you would be interested in learning how to do assuming you arent already experienced in it why or why not","no  i hate winter lol",0
"12000","is the first time having sex the best or does it get better","it gets better",0
"12001","is the world gonna end in ","no    ",0
"12002","is there a certain time of day that you are almost garenteed to be logged on for me its most likely morning hour am or so","  to  am mtz",0
"12003","is there a film currently  in the cinema that u wanna go and see  if so what is it ","toy story  so funny",0
"12004","is there a lyric in a song that just makes you go quotwowquot if so  what is it what makes the wow factor","in the song  its a long way to the top   quot by ac  dc  they say quot if you think its hard doing one night stands  trying playing in a rock  roll band quot that is fun    lmao",0
"12005","is there a meaning to ur name","i have been to jail several times  so yes",0
"12006","is there a name that nobody should ever be named ever like bertha or something hahahah my apologies to those of you named bertha","spring  or rain or some hippy nonsense name like that",0
"12007","is there a name that you just hate what is it","not really",0
"12008","is there a significant meaning behind your username if its just your normal name  how did you get your name do you know what your name means mine means dream ","i have been to jail  times",0
"12009","is there a song that makes you cry which one","pink  please dont leave me",0
"12010","is there a time in your life that you wish you could take back","getting divorced",0
"12011","is there an internet site that you think is a total fail","my space",0
"12012","is there any celeb that you really hate hearing about cause its annoying","lady gagga",0
"12013","is there any celebrity you would want to actually have sex with why or why not","maddonna  she is one freaky hot cougar",0
"12014","is there any huge drama situation in your life right now you wish you could get rid of if so  what is it and what is happening if not  are you thankful for being somewhat dramafree at the moment  or do you enjoy drama","nope  no drama not allowed",0
"12015","is there any instance in which cheating is okay like  say the military when youre overseas away from your spouse for a long period of time","when i went overseas  i made an agreement with my lover that it was ok to fuck whom ever we wanted as long as we both practiced safe sex when i got home  it was a closed relationship everybody is different  but for us  we made sure to be honest and open about the fact that we were horny and wanted to get laid so it was ok",0
"12016","is there any movie from your childhood that you still absolutely love","top gun",0
"12017","is there any song lyrics that are stuck in your head right now if so  what song amp artist sings is ","john mayer  half of my heart",0
"12018","is there any topic that you hate talking about because it makes you feel really uncomfortable","abortion",0
"12019","is there any topic that you hate talking about because it makes you feel really uncomfortable","abortion",0
"12020","is there any typing flaw that you absolutely hate using qs as gs  bad grammar  spelling  etc","bad grammer if youre from the street dont talk lie that on the web kk ",0
"12021","is there anyone ur checking up on atm and why","no  sorry",0
"12022","is there anyone you feel is out to get you  or have you ever been in a situation where you felt someone was out to get you what have they done to make you feel that way","the casper wyo police  basterds ",0
"12023","is there anyone you know who currently wants to fight you if so  why do they want to fight if not  have you ever had someone wanting to fight you d","yes  i have been in several fights  but not in a long time",0
"12024","is there anything holding you back from something right now","the law i have an active warrent for my arrest in wyoming",0
"12025","is there anything you want someone to know  but you wouldnut dare ever say it to them if so  what is it you want to say go ahead and get it off your chest  you donut have to mention any names if you donut want to","no  if i have something to say  i am pretty blunt about it",0
"12026","is there anything you wish for that you know is impossible  yet you feel a childlike urge every now and then that itull come true or happen anyway what is this thing","to win the lottery",0
"12027","is there one person you hate to love  yea ive got one texting me right now lol ","my ex wife",0
"12028","is there someone that you refuse to talk to  why ","nope there are a couple people that i am mad at  but i would still talk to them",0
"12029","is there someone who you just want to punch and say quotthere bitchquot  lmao who are they  and why","my ex wife that says it all",0
"12030","is there something else you should be doing  but arent because your doing this","yes  but its raining  so i am in doors and doing this  lmao",0
"12031","is there something you are so scared of that even the thought of it gives you chills","nope",0
"12032","is there still right and wrong good and bad truth and lies or is everything negotiable  left to interpretation","there is right and wrong  and it matters if we do the wrong thing",0
"12033","is your best friend slightly retarded at all mine is  everyday she manages to trip herself over like wow","nope  she is a very kool person",0
"12034","is your citytown known for anything if so  what how about your state  what is it known for","casper wyoming was the site of an old army fort  lt caspar died in an indian attack and the town was named after him  even if they mis spelled it  wyoming is the equality state  as we were the first state to give women the right to vote and the first state to kill a woman  for horse theft ",0
"12035","is your cock hard","not yet i was this morning  but i took care of that in the shower",0
"12036","is your day better today hows your mom","she is home  and safe thank you and yes i am better",0
"12037","is your formspring different again too haha","yep",0
"12038","is your life story fucked up enough to make a pretty good movie","mabey if i had a good director lol",0
"12039","is your refrigerator covered in magnets","nopies",0
"12040","it is taking forever to submit a question is your computer dreadfully slow ","no  working fine",0
"12041","it was a  post question the hitler one and the guilty of killing thousands","aaahhhhh okies",0
"12042","it was not a hacker it was a bug  but now it is fixed so back to spamming ","kool",0
"12043","its a bad hair day  you have tried absolutely everything to fix your hair  last resort  hide your hair under something what would it be  ex a hat what kind of hat ect","my cowboy hat",0
"12044","its been said that some people cry more for the death of an animal real life or on television than the death of a human why do you think that is","im not sure",0
"12045","its dangerous to have wild animals as pets  racoons  monkeys and aligators  why do we as americans feel the need to have them as pets","cause they are just stupid",0
"12046","its  here what time is it for you"," pm",0
"12047","its good that you dont steal ","thanks",0
"12048","ium so glad itus friday d ium getting my hair roots touched up tonight and hanging with friends tomorrow night what are your plans for the weekend give me the details p","i work in a hotel  so no weekends off for me i have mon  tue off",0
"12049","just to let everyone know  no one is hacking anybody it is a glitch in the fs system pass it on","okies",0
"12050","just wanted to let you all know  i wont spam until late tomorrow i have my cna exam   which i believe im going to fail d","if thats what you believe than you will i hope you pass  and get a good job",0
"12051","kissses lol","always kissssssssss",0
"12052","lady gaga man or women ot both","woman shes a freak  but shes a chick",1
"12053","largest snowfall youuve ever witnessed  if any did you miss any schoolwork did you play in it at all do you even like snow","it was    and we had so much snow i had to crawl out the window to clean off the porch  so i could open the front door",0
"12054","last one   would you accept    to leave your country and never set foot in it again where would you go what would you do","yes right to brazil and be a rich baron",0
"12055","last one  are you an organ donor drivers liscence","no    never  ",0
"12056","last one  has your home ever had an infestation before if so  what was it how did you get rid of it","nope",0
"12057","last one  if you were driving down the street and a bear stopped at your window  what would you do","keep driving",0
"12058","last one  is there something about me that youuve always wanted to know but have never asked","yep do you shave or wax your legs  pussy ",0
"12059","last one    what are your thoughts on premaritial sex","its fine just dont give your body to just anyone marriage is only an idia after all   not an instituition",0
"12060","last one for meow  why do we need  songs on our mp players like were really going to listen to that many songs a day xd","lol i dont own one",0
"12061","last one for now  what is your opinion on passing out condoms and birth control in schools for free without notifying the parental units","its better than not doing anything",0
"12062","last one for now ask me some back please  money buys temporary happiness what gives you  personally  permanent happiness","my daughter",0
"12063","last one for the day  since i have to come up with more questions  when people immigrate america  should they be able to speak english and take a common knowledge exam some simple math  english and american history s in order to become a citizen","since thats the law to become a citizen  then yes lol",0
"12064","last one for the night   what do you fear why do you fear it do you think you could ever get rid of that fear i used to fear needles i got a tattoo and now im not afraid ","death",0
"12065","last one for the night cause i have some studying to doleave me things love you all  today was a  kind of day","nice  slow",0
"12066","last one for today spam back  do you believe in other forms of intelligent life if so  what do you think they look like are they friendly ecplain","yes   i do but i have no idia what they look like or even if they are friendly i hope they are thou",0
"12067","last one until i wake up in the morning leave me things too  what war in history really interests you and why","ww very interesting",0
"12068","last one ask some back please  what is the scariest movie youve ever seen i heard splice is pretty scary","idk",0
"12069","last one send some back  i do read all the answers  just saying   who is your favorite comedian","larry the cable guy",0
"12070","last one spam back  can you crave something youve never tried explain","i really dont know",0
"12071","last person you said i love you","my daughter",0
"12072","last round for the night  many people today think that punishing a child by spanking is considered abusive do you agree or disagree why is there an alternative to spanking that is just as effective","not abusive if done with an open hand and only once",0
"12073","last round for today dont want spammed  lemme know   congrats you won a getaway to a private island of your choice you have  extra seats on the jet who do you take and why","my daughter  my bff  and my gf",0
"12074","last round of spam for the night if you dont want spammed  tell me are you the kind of friend that you would want to have as a friend","yes",0
"12075","last thing you eatdrinktouched","beer  and german brauts",0
"12076","last time you had a krispy kreme donut","never",0
"12077","laughing so hard my turban unravels and falls in my curry lshmtuafimc i think its the most epic expression ever  whats an expression you really like","quot keep your drink  just give me the money quot",0
"12078","leaving  wont be back until next thursday  spam me all you want ","okies",0
"12079","lets start shall we  best pick up line ","hello  my name is ",0
"12080","life would absolutely be unbareable if you were to lose this personplacething  ","my daughter",0
"12081","like what do you want to be known for","being the biggest ass hole in the world    naaaa  jk  jk  helping to make my daughter a better person",1
"12082","lindsay lohan was sentenced to  days in jail normally it seems celebrities arent punished enough for crimes they commit how do you feel about her punishment is it fair","yes  i have done much more time in jail than her  but she only did a probation violation so its fair",0
"12083","lol ashleigh was   when she st discovered she liked vodka  i was   as we tried it at th same time lol ","ha ha ha ha ha ha ha i was  when i discovered beer and whisky",0
"12084","lol i tried vodka when i was  that was the st time i got properly drunk p","nice    youre a naughty girl then ",0
"12085","lol i was  when i lost my viginity  ","i was ",0
"12086","lol omg you had sex in an ambulance","yeay when i was  lol my first gf",0
"12087","lol ur a pedophile   ur as old as my step dad","ok then dont talk to me",1
"12088","love or lust ","lust  for now ",0
"12089","mae west or marilyn monroe","may west she was the original dirty little freak",0
"12090","male female","male",0
"12091","mandatory drug testing for welfare applicants  yay or nay explain","no it would take too much money out of the system",0
"12092","many people today think that punishing a child by spanking is considered abusive do you agree or disagree why is there an alternative to spanking that is just as effective","time outs are very affective but i spanked my daughter just not more than once at a time no need to be hurtfull",0
"12093","me a flirt  i dont think so  ampamp aww thankss  ur a realy nice person aswell d","aawwwww    now im all warm and fuzzy inside   lol",0
"12094","megan fox squeezed her way into an quot corset for the western action flick quotjonah hexquot they were constantly worried of her fainting what are your overall opinions on that do you think she needed to appear that skinny for the movie","in the old days  women would do that any given day women fainted on a reuglar basis so yeay if she wants to earn  million dollors  then she should get into her part",0
"12095","megan fox with no legs britney spears with no arms jessica alba with boobs  or mitchell obama to fuck up the asss","michelle obama to fuck up the ass",1
"12096",NA,NA,0
"12097","meh im done spamming i cant think of anyone more questions please spam me back ill ask more tomorrow","okies",0
"12098","mmmm yes pleasee  ur a flirt  lol p","kisssssssssssss  i know  lol",0
"12099","mmmmm d tht sounds gd  what is the consenting age for sex in your state as brianna is   and not llegal u have to be  in uk to be llegal d","the us is ",0
"12100","money or love","money pink has a great line  keep your drink  just give me the money  har har har",0
"12101","more people are quitting their jobs voluntarily than getting laid off now  according to a story on a news website i read what motivates you in a job are there more important things about a job than just what it pays what would make you leave a job","i leave a job when they treat me like a slave and take me for granted nothing but money motivates me in a job i dont work because i want to  but because i have to i have abosutley no loyelty to any company the guy next door wants to pay me a dollor more  good by fucker face   ",0
"12102","more than  of states now have adult obesity rates above  percent what are some small steps we could take as a whole society to lower or at least halt the growing obesity rates in america","stop eating salty foods  foods with saterated fat  and candy",0
"12103","moreee kisses  im gettin spolit ","many more kisses   muwah  ",0
"12104","most everyone i know has a favorite number  whats yours and why do you like it saying quotjust bcquot will not make me a happy camper btw haha p"," i have some ocd and that makes me happy for some weird reason",0
"12105","most men like girls younger than themselves do u like younger or older women  an by how many years ","doesnt really matter i have dated both sides as long as she has a strong mind and is independant  i like her",0
"12106","my boyfriend wants kids  but doesnut want to get married i want to be married before i have kids it seems neither of us is going to budge on our stance weuve been together  years now what advice or suggestions would you give us","i think its time to move on thats too important an  issue to stay with him",0
"12107","my brain is totally off today so i cant think of things to ask but i figured its been a while so i though about  questions haha well buhbye","have a great day",0
"12108","my brother was telling me that johnny depp refuses to watch any movie he has ever been in if you were a movie star that was in some of the biggest movies do you think you would watch them","nope i would not want to watch myself",0
"12109","my day has been fine thanks  its nearly pm now  im just relaxing with my sister having a few drinks d","have one for me ",0
"12110","my hair is really thin  i hate it d is your hair thin or thick do you like it","thick i used to like it till it got gray lol",0
"12111","my inbox has  questions so ill be doing them through out the day  time to spam though  so i dont forget   have you ever read a book cover to cover if so  what book was it","the death and life of superman  thats my fav  but i read many many books cover to cover ",0
"12112","my legs went numb and i had pins and needles dont u just hate it","lol yep",0
"12113","my mom  totally just asked why do rivers flood but oceans dont your reaction to my mothers stupidity xd","lol dont give her too much grieve we all do it some time",1
"12114","my mom just asked me why the satillites dont fall out of space what is your reaction","they are in a geo cycronis orbit and stay there due to gravity   miles up is the norm",0
"12115","my old account has been restored because i talked to fs and changed my background please refollow me on here and stop following meganmedellin thank you xoxo","kisses",0
"12116","my sister is christian but was made to go to an tempele where other religions pray she was forced in by the school and was upset as she didnt want to  do u think this is right or wrong and why","wrong   she should have been allowed to stay outside",0
"12117","my tummy is telling me its hungry what should i eat i know it sounds like im always hungry  but i do rarely eat d","roasted garlic chicken yummy",1
"12118","nahh smirnoff p its what we drink here in th uk if you want beer you can bring that yourself p","i will we have a beer called  dogg slobber  i kid you not  and it is dark and very heavy but i will drink smirnoff with you",0
"12119","name  of the most important things in your lifer","family  friends  my dog  beer and sex",0
"12120","name  things you could pick up from where you are sitting","my beer my head set my mouse my pen my watch",0
"12121","name seven random things in your bedroom and what they say about you ie  yellow walls happiness","my teddy bear  my batman stuffed toy my superman blanket  my catholic cross ummmm  thats about it",0
"12122","name your three biggest fears","death  no family  no money",0
"12123","new pictureyep xd","very cute",0
"12124","no i havent ive never been out of europe  kinda sucks tbh p","too bad want me to take you  ha ha ha ha",0
"12125","of all the questions you have been asked  how many of them do you think you answered with either one word  or with an quotidkquot quotidcquot or quotidrquot ","just a few actually",0
"12126","off  bed now sweet dreams xxxx","kisses",0
"12127","oh god you did a lot in jail eh ","yes i had to take care of myself",0
"12128","oh gosh what did you do","duii   i was at the bar and decided that i could drive home plus  i had no insurance and had a suspended licence i hadnt paid my fines from the last time that had happened  so they threw me in the tank lol",0
"12129","oh no the world has ended you are the only person alive you have the power to bring one person back to life to repopulate the earth who do you choose","my ex wife",0
"12130","okay  i added some people who want sexual spam  i dont do that over mass spam if you want sexual spam  ask me to spam you individually and i will thank you","okies",1
"12131","okay  itus riddle time why shouldnut you feed your teddy bear c","ha ha ha ha idk",0
"12132","okay  so are you currently or soon to be  a godmotherfather  auntuncle in  months im going to be a god mother im so excited","i am a father  an uncle  and a god father",0
"12133","okay  so to everyone  im following you you will get spam and im about to spam a little today i havent been spamming in a while  and thats because i have family visiting p","okies",0
"12134","","na",0
"12135","okay everyone  i dont know how many that is  but im tired as shit so im done for tonight i hope you all enjoyed my spam  night everyone","kisses",0
